OSKMcMycOpen,BSGMcMycOpen,GETMcMycOpen,GETME_EScMycOpen,GETME_TScMycOpen,OSKMcMycClose,BSGMcMycClose,GETMcMycClose,GETME_EScMycClose,GETME_TScMycClose
0610009L18Rik,0610009B22Rik,0610007P14Rik,0610007P14Rik,0610007P14Rik,1110002L01Rik,1810032O08Rik,0610007P14Rik,0610009O20Rik,1110004E09Rik
0610009O20Rik,0610009L18Rik,0610009L18Rik,0610009L18Rik,0610009L18Rik,1110007C09Rik,2810025M15Rik,0610009O20Rik,1110004E09Rik,1110051M20Rik
0610010K14Rik,0610010F05Rik,0610009O20Rik,0610009O20Rik,0610011F06Rik,1110008L16Rik,Abcc4,1110004E09Rik,1190002N15Rik,1190002N15Rik
0610011F06Rik,0610037L13Rik,0610011F06Rik,0610011F06Rik,0610030E20Rik,1110051M20Rik,Arfgap3,1110032F04Rik,1190007I07Rik,1190007I07Rik
0610040J01Rik,1110004E09Rik,0610030E20Rik,0610030E20Rik,0610037L13Rik,1700009N14Rik,Arhgef10l,1190002N15Rik,1500009L16Rik,1500015O10Rik
1110001J03Rik,1110008F13Rik,0610037L13Rik,1110001J03Rik,1110001J03Rik,1810011O10Rik,Atad3a,1190007I07Rik,1500015O10Rik,1700001C19Rik
1110002L01Rik,1110037F02Rik,1110001J03Rik,1110004E09Rik,1110004E09Rik,1810013L24Rik,Atf7ip,1500015O10Rik,1700001C19Rik,1700025G04Rik
1110004E09Rik,1190007I07Rik,1110004E09Rik,1110007C09Rik,1110007C09Rik,2010111I01Rik,Begain,1700001C19Rik,1700056E22Rik,1700056E22Rik
1110007C09Rik,1700017B05Rik,1110007C09Rik,1110008P14Rik,1110008F13Rik,2310011J03Rik,Birc2,1700009N14Rik,2010111I01Rik,1700112E06Rik
1110008P14Rik,1700021F05Rik,1110008P14Rik,1110032F04Rik,1110008P14Rik,2410089E03Rik,Cbx1,1700021K19Rik,2010300C02Rik,1810011O10Rik
1110032F04Rik,1700025G04Rik,1110032F04Rik,1110065P20Rik,1110032F04Rik,2410127L17Rik,Cdv3,1700024P16Rik,2310009B15Rik,2010111I01Rik
1110051M20Rik,1700034H15Rik,1110065P20Rik,1190002N15Rik,1190002N15Rik,2510009E07Rik,Cep290,1810013L24Rik,2510009E07Rik,2010300C02Rik
1110059E24Rik,1810013L24Rik,1190002N15Rik,1190007I07Rik,1190007I07Rik,2510039O18Rik,Csk,2010111I01Rik,2610001J05Rik,2310009B15Rik
1190007I07Rik,1810032O08Rik,1190007I07Rik,1500015O10Rik,1500015O10Rik,2700049A03Rik,Dand5,2010300C02Rik,2610301B20Rik,2510009E07Rik
1200014J11Rik,1810055G02Rik,1500015O10Rik,1600012H06Rik,1600012H06Rik,2700081O15Rik,Dkc1,2310011J03Rik,2700049A03Rik,2610001J05Rik
1600012H06Rik,2210016F16Rik,1600012H06Rik,1700001C19Rik,1700001C19Rik,2810417H13Rik,Dlx2,2310035C23Rik,2810032G03Rik,2700049A03Rik
1700009N14Rik,2210018M11Rik,1700001O22Rik,1700001O22Rik,1700003E16Rik,3110043O21Rik,Efcab7,2410089E03Rik,2900026A02Rik,2700097O09Rik
1700017B05Rik,2300009A05Rik,1700003E16Rik,1700021F05Rik,1700021F05Rik,4930429B21Rik,Egr2,2410131K14Rik,4921507P07Rik,3632451O06Rik
1700019D03Rik,2310009B15Rik,1700009N14Rik,1700021K19Rik,1700021K19Rik,4930452B06Rik,Eif4e3,2510009E07Rik,4921524J17Rik,4921507P07Rik
1700020L24Rik,2310011J03Rik,1700021F05Rik,1700056E22Rik,1700025G04Rik,5031439G07Rik,Fbxw11,2610001J05Rik,4930429B21Rik,4921524J17Rik
1700021F05Rik,2310022B05Rik,1700021K19Rik,1700123O20Rik,1700029J07Rik,5330426P16Rik,Fbxw2,2700049A03Rik,4930452B06Rik,4930452B06Rik
1700025G04Rik,2310033P09Rik,1700024P16Rik,1810009A15Rik,1700034H15Rik,5730559C18Rik,Foxd1,2700081O15Rik,4930523C07Rik,4930523C07Rik
1700056E22Rik,2310039H08Rik,1700123O20Rik,1810013L24Rik,1700056E22Rik,9330182L06Rik,Fxr1,2810025M15Rik,4932438A13Rik,4931440P22Rik
1700123O20Rik,2310061I04Rik,1810009A15Rik,1810032O08Rik,1700112E06Rik,9430015G10Rik,Fzd7,2810474O19Rik,5330426P16Rik,4932438A13Rik
1810011O10Rik,2410002F23Rik,1810013L24Rik,2010012O05Rik,1810009A15Rik,9430020K01Rik,Gadd45gip1,4921507P07Rik,6330416G13Rik,4933427D14Rik
1810013L24Rik,2410015M20Rik,2010012O05Rik,2010107E04Rik,1810011O10Rik,9530068E07Rik,Gata4,4930402H24Rik,9430020K01Rik,5330426P16Rik
1810043G02Rik,2610507B11Rik,2010111I01Rik,2010111I01Rik,1810032O08Rik,A430033K04Rik,Gli1,4930429B21Rik,9530068E07Rik,6030458C11Rik
1810043H04Rik,2700029M09Rik,2210016F16Rik,2210016L21Rik,1810043H04Rik,A430105I19Rik,Gnpnat1,4930447C04Rik,A430033K04Rik,6330416G13Rik
1810055G02Rik,2700060E02Rik,2310011J03Rik,2310009B15Rik,2010012O05Rik,AI314180,Gpr151,4930452B06Rik,AI314180,9430020K01Rik
2010107E04Rik,3110040N11Rik,2310035C23Rik,2310011J03Rik,2010107E04Rik,Aasdh,Greb1,4930579G24Rik,AI467606,9530068E07Rik
2010111I01Rik,3110062M04Rik,2310061I04Rik,2310022B05Rik,2010111I01Rik,Aatf,Gse1,4932438A13Rik,AI593442,AI467606
2310011J03Rik,3110082I17Rik,2310067B10Rik,2310067B10Rik,2210016L21Rik,Abcb1a,Ifngr1,5330426P16Rik,AU015836,AU018091
2310039H08Rik,4921524J17Rik,2410016O06Rik,2410016O06Rik,2310009B15Rik,Abcb4,Il17d,5730409E04Rik,AU018091,AU040320
2410016O06Rik,4921536K21Rik,2410089E03Rik,2410127L17Rik,2310011J03Rik,Abcc12,Kcnj5,6330416G13Rik,AW551984,AW551984
2410089E03Rik,4931406P16Rik,2410127L17Rik,2510009E07Rik,2310022B05Rik,Abcc4,Kitl,6430548M08Rik,Aak1,Aak1
2410127L17Rik,4933434E20Rik,2510002D24Rik,2610301B20Rik,2310057M21Rik,Abcc8,Lats2,9330159F19Rik,Aamdc,Aamdc
2510002D24Rik,5730409E04Rik,2510009E07Rik,2700049A03Rik,2310061I04Rik,Abhd17c,Lemd2,9430020K01Rik,Aard,Aard
2510009E07Rik,5730508B09Rik,2610001J05Rik,2700081O15Rik,2410016O06Rik,Abl1,Mapk1ip1l,9530068E07Rik,Aarsd1,Aarsd1
2510039O18Rik,6030419C18Rik,2610507B11Rik,2810004N23Rik,2410127L17Rik,Abl2,Med26,A430005L14Rik,Abca1,Abca1
2610001J05Rik,9130011E15Rik,2700049A03Rik,3110009E18Rik,2510009E07Rik,Acads,Mpp3,A530064D06Rik,Abca4,Abca4
2610008E11Rik,9130023H24Rik,2700081O15Rik,3110062M04Rik,2610002M06Rik,Acap3,Msl1,A930005H10Rik,Abcc3,Abcb11
2610015P09Rik,9330182L06Rik,2700094K13Rik,3110082I17Rik,2610318N02Rik,Acer2,Nfic,AF251705,Abcc4,Abcc3
2610318N02Rik,9430016H08Rik,2810006K23Rik,4921507P07Rik,2700029M09Rik,Acvr1,Nicn1,AU018091,Abcc5,Abcc5
2610524H06Rik,9430020K01Rik,2810025M15Rik,4921524J17Rik,2700049A03Rik,Acvr2a,Nr6a1,AW551984,Abhd17c,Abcc9
2700029M09Rik,A230046K03Rik,2810403A07Rik,4930402H24Rik,2700081O15Rik,Adam12,Ntn1,Aaas,Abi3bp,Abcd3
2700049A03Rik,A430005L14Rik,2810474O19Rik,4930452B06Rik,2810417H13Rik,Adam9,Osbpl1a,Aak1,Abl1,Abhd10
2700081O15Rik,A430105I19Rik,3010026O09Rik,4930523C07Rik,2810474O19Rik,Adamts20,Pcbp1,Aamdc,Ablim1,Abi3bp
2700094K13Rik,A930004D18Rik,3110082I17Rik,4931406P16Rik,3110009E18Rik,Adamts6,Pde4d,Aard,Abr,Abl1
